ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
27,FinServicio,53.94,0.27,1,1,35.69175388316249,53.936338978273504,,18.244585095111013,21.570802946090062
29,InicioServicio,53.94,0.00,0,1,53.936338978273504,,17.409059995774136,,
47,Llegada,54.64,0.71,1,1,,,,,
44,FinServicio,54.70,0.06,0,1,49.12028340695701,54.69776915699299,,5.57748575003598,5.577485750035983
48,Llegada,55.38,0.68,1,1,,,,,
48,InicioServicio,55.38,0.00,0,1,55.380647819915005,,,,
29,FinServicio,55.94,0.56,1,1,53.936338978273504,55.93913728905371,,2.002798310780209,19.411858306554343
47,InicioServicio,55.94,0.00,0,1,55.93913728905371,,1.2967214691785927,,
49,Llegada,56.03,0.09,1,1,,,,,
50,Llegada,56.75,0.71,1,1,,,,,
51,Llegada,56.95,0.20,1,1,,,,,
51,InicioServicio,56.95,0.00,0,1,56.94822341642503,,,,
52,Llegada,57.95,1.00,1,1,,,,,
53,Llegada,58.14,0.20,1,1,,,,,
53,InicioServicio,58.14,0.00,0,1,58.14251066435109,,,,
51,FinServicio,58.55,0.40,1,1,56.94822341642503,58.54676275629036,,1.5985393398653311,1.598539339865333
52,InicioServicio,58.55,0.00,0,1,58.54676275629036,,0.5996792640681576,,
45,FinServicio,58.77,0.22,1,1,53.02933739239101,58.76537879954647,,5.736041407155459,5.871685475992699
46,InicioServicio,58.77,0.00,0,1,58.76537879954647,,5.537035688854374,,
54,Llegada,59.16,0.40,0,1,,,,,
46,FinServicio,60.04,0.88,1,1,58.76537879954647,60.038611042015155,,1.2732322424686873,6.810267931323061
54,InicioServicio,60.04,0.00,0,1,60.038611042015155,,0.876737701633985,,
47,FinServicio,60.17,0.13,1,1,55.93913728905371,60.165440323025265,,4.226303033971551,5.523024503150147
49,InicioServicio,60.17,0.00,0,1,60.165440323025265,,4.132571428720858,,
53,FinServicio,60.20,0.03,0,1,58.14251066435109,60.19520129199236,,2.0526906276412697,2.052690627641269
52,FinServicio,60.89,0.69,0,1,58.54676275629036,60.889228323271816,,2.342465566981451,2.9421448310496103
48,FinServicio,61.72,0.83,1,1,55.380647819915005,61.7151672069896,,6.334519387074593,6.334519387074593
50,InicioServicio,61.72,0.00,0,1,61.7151672069896,,4.968366241652021,,
50,FinServicio,61.86,0.14,0,1,61.7151672069896,61.85658284902821,,0.14141564203861057,5.10978188369063
55,Llegada,62.21,0.35,0,1,,,,,
56,Llegada,62.31,0.10,1,1,,,,,
57,Llegada,62.64,0.33,1,1,,,,,
57,InicioServicio,62.64,0.00,0,1,62.644742131116104,,,,
58,Llegada,63.01,0.37,1,1,,,,,
49,FinServicio,63.54,0.53,1,1,60.165440323025265,63.54390313026425,,3.378462807238981,7.5110342359598405
56,InicioServicio,63.54,0.00,0,1,63.54390313026425,,1.2335121786223624,,
59,Llegada,64.29,0.74,1,1,,,,,
56,FinServicio,64.44,0.16,1,1,63.54390313026425,64.44168484763188,,0.8977817173676339,2.131293895989991
59,InicioServicio,64.44,0.00,0,1,64.44168484763188,,0.15512090718340232,,
60,Llegada,64.75,0.31,1,1,,,,,
61,Llegada,65.35,0.60,1,1,,,,,
61,InicioServicio,65.35,0.00,0,1,65.35367908256396,,,,
59,FinServicio,65.42,0.06,1,1,64.44168484763188,65.41808836619212,,0.9764035185602511,1.131524425743649
60,InicioServicio,65.42,0.00,0,1,65.41808836619212,,0.6656233168294534,,
57,FinServicio,65.46,0.04,1,1,62.644742131116104,65.46034455423397,,2.8156024231178605,2.8156024231178662
58,InicioServicio,65.46,0.00,0,1,65.46034455423397,,2.446642503868965,,
61,FinServicio,65.80,0.34,0,1,65.35367908256396,65.8000492628204,,0.4463701802564337,0.44637018025643727
58,FinServicio,66.15,0.35,0,1,65.46034455423397,66.1513804834261,,0.6910359291921299,3.1376784330610903
60,FinServicio,66.39,0.24,0,1,65.41808836619212,66.39090155844468,,0.9728131922525546,1.6384365090820125
54,FinServicio,67.61,1.21,1,1,60.038611042015155,67.60514716401643,,7.566536122001277,8.44327382363526
55,InicioServicio,67.61,0.00,0,1,67.60514716401643,,5.394268684657753,,
62,Llegada,68.33,0.72,0,1,,,,,
55,FinServicio,68.69,0.36,1,1,67.60514716401643,68.68570177018336,,1.0805546061669238,6.4748232908246806
62,InicioServicio,68.69,0.00,0,1,68.68570177018336,,0.3597645240865859,,
63,Llegada,69.19,0.50,0,1,,,,,
64,Llegada,70.97,1.78,1,1,,,,,
64,InicioServicio,70.97,0.00,0,1,70.96922563269757,,,,
62,FinServicio,71.74,0.77,1,1,68.68570177018336,71.73958208212582,,3.0538803119424585,3.41364483602905
63,InicioServicio,71.74,0.00,0,1,71.73958208212582,,2.550631713755095,,
65,Llegada,72.05,0.31,0,1,,,,,
66,Llegada,72.36,0.31,1,1,,,,,
67,Llegada,74.13,1.77,1,1,,,,,
67,InicioServicio,74.13,0.00,0,1,74.13016546732726,,,,
68,Llegada,74.56,0.43,1,1,,,,,
63,FinServicio,74.67,0.11,1,1,71.73958208212582,74.67219672064904,,2.932614638523213,5.483246352278314
65,InicioServicio,74.67,0.00,0,1,74.67219672064904,,2.621783691718491,,
67,FinServicio,74.67,0.00,1,1,74.13016546732726,74.6741883863966,,0.5440229190693385,0.5440229190693344
68,InicioServicio,74.67,0.00,0,1,74.6741883863966,,0.11449513572358683,,
64,FinServicio,75.06,0.38,1,1,70.96922563269757,75.05737829756931,,4.088152664871744,4.088152664871743
66,InicioServicio,75.06,0.00,0,1,75.05737829756931,,2.6929233175711857,,
65,FinServicio,75.17,0.11,0,1,74.67219672064904,75.1657198321658,,0.4935231115167642,3.1153068032352564
68,FinServicio,75.71,0.55,0,1,74.6741883863966,75.71339733012667,,1.0392089437300736,1.1537040794536608
69,Llegada,78.21,2.49,0,0,,,,,
69,InicioServicio,78.21,0.00,0,1,78.20565690288892,,,,
70,Llegada,80.99,2.78,0,1,,,,,
66,FinServicio,81.20,0.22,0,1,75.05737829756931,81.20406065884744,,6.146682361278124,8.83960567884931
71,Llegada,81.59,0.39,1,1,,,,,
71,InicioServicio,81.59,0.00,0,1,81.59465052597301,,,,
72,Llegada,83.00,1.40,1,1,,,,,
69,FinServicio,83.91,0.92,1,1,78.20565690288892,83.91093998410041,,5.705283081211494,5.7052830812114905
70,InicioServicio,83.91,0.00,0,1,83.91093998410041,,2.9258582537849094,,
73,Llegada,83.99,0.08,0,1,,,,,
74,Llegada,84.04,0.05,1,1,,,,,
74,InicioServicio,84.04,0.00,0,1,84.0449536332617,,,,
70,FinServicio,84.11,0.07,1,1,83.91093998410041,84.11492232751668,,0.20398234341627186,3.1298405972011807
73,InicioServicio,84.11,0.00,0,1,84.11492232751668,,0.12423722393629077,,
73,FinServicio,84.39,0.28,0,1,84.11492232751668,84.39359182254584,,0.27866949502915694,0.40290671896545405
75,Llegada,85.02,0.63,0,0,,,,,
75,InicioServicio,85.02,0.00,0,1,85.02241342719915,,,,
76,Llegada,85.29,0.27,0,1,,,,,
77,Llegada,85.62,0.32,1,1,,,,,
74,FinServicio,86.06,0.44,1,1,84.0449536332617,86.05559974533354,,2.010646112071846,2.0106461120718393
77,InicioServicio,86.06,0.00,0,1,86.05559974533354,,0.43639100159857946,,
78,Llegada,87.18,1.13,1,1,,,,,
79,Llegada,87.79,0.61,1,1,,,,,
79,InicioServicio,87.79,0.00,0,1,87.79053157027735,,,,
80,Llegada,88.64,0.85,1,1,,,,,
81,Llegada,89.66,1.03,1,1,,,,,
81,InicioServicio,89.66,0.00,0,1,89.66398326932584,,,,
82,Llegada,90.04,0.37,1,1,,,,,
75,FinServicio,91.58,1.54,1,1,85.02241342719915,91.576207421611,,6.553793994411844,6.553793994411848
76,InicioServicio,91.58,0.00,0,1,91.576207421611,,6.281225706047067,,
71,FinServicio,91.83,0.25,1,1,81.59465052597301,91.82854851605794,,10.233897990084934,10.233897990084927
72,InicioServicio,91.83,0.00,0,1,91.82854851605794,,8.833014879458972,,
77,FinServicio,92.10,0.27,1,1,86.05559974533354,92.10216223553671,,6.046562490203171,6.4829534918017515
78,InicioServicio,92.10,0.00,0,1,92.10216223553671,,4.920492310220681,,
81,FinServicio,92.21,0.10,1,1,89.66398326932584,92.20599657722563,,2.5420133078997944,2.5420133078997935
82,InicioServicio,92.21,0.00,0,1,92.20599657722563,,2.1682498544698348,,
83,Llegada,93.21,1.01,0,1,,,,,
76,FinServicio,94.37,1.16,1,1,91.576207421611,94.37473036063815,,2.798522939027146,9.079748645074218
83,InicioServicio,94.37,0.00,0,1,94.37473036063815,,1.1612142168174273,,
83,FinServicio,94.56,0.18,0,1,94.37473036063815,94.55837931223357,,0.1836489515954177,1.344863168412843
72,FinServicio,95.83,1.28,0,1,91.82854851605794,95.83445127500781,,4.005902758949878,12.838917638408844
84,Llegada,97.08,1.25,0,0,,,,,
